Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Rate/Page_Home/input_View all_searchText""), ""Vijay Test"")",Firefox 69.0,,,2019-12-04 01:21:17,2019-12-04 01:21:18,0.646s,PASSED
"click(findTestObject(""Rate/Page_Home/Search user button""))",Firefox 69.0,,,2019-12-04 01:21:18,2019-12-04 01:21:29,11.234s,PASSED
"click(findTestObject(""connect with user/Page_Search/button_Connect""))",Firefox 69.0,,,2019-12-04 01:21:29,2019-12-04 01:22:17,47.706s,FAILED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:22:17,2019-12-04 01:22:19,2.208s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:22:22,2019-12-04 01:22:22,0.002s,PASSED
,,,,,,,
Test Cases/Flag a post,Firefox 69.0,,,2019-12-04 01:22:22,2019-12-04 01:23:05,42.829s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:22:22,2019-12-04 01:22:22,0.001s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-04 01:22:23,2019-12-04 01:22:31,8.497s,PASSED
"navigateToUrl(""https://qa.thework.life/"")",Firefox 69.0,,,2019-12-04 01:22:31,2019-12-04 01:22:39,8.133s,PASSED
"setText(findTestObject(""Object Repository/flag a post/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10001@gmail.com"")",Firefox 69.0,,,2019-12-04 01:22:39,2019-12-04 01:22:40,0.750s,PASSED
"setEncryptedText(findTestObject(""Object Repository/flag a post/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-12-04 01:22:40,2019-12-04 01:22:41,0.660s,PASSED
"click(findTestObject(""Object Repository/flag a post/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:22:41,2019-12-04 01:22:49,7.880s,PASSED
delay(4),Firefox 69.0,,,2019-12-04 01:22:49,2019-12-04 01:22:53,4.031s,PASSED
"click(findTestObject(""flag a post/Page_Home/click flag report""))",Firefox 69.0,,,2019-12-04 01:22:53,2019-12-04 01:22:54,0.993s,PASSED
"waitForElementPresent(findTestObject(""flag a post/Page_Home/Report New window""), 3)",Firefox 69.0,,,2019-12-04 01:22:54,2019-12-04 01:22:55,1.189s,PASSED
"waitForElementClickable(findTestObject(""flag a post/Page_Home/click accusatory""), 3)",Firefox 69.0,,,2019-12-04 01:22:55,2019-12-04 01:22:56,1.398s,PASSED
"click(findTestObject(""flag a post/Page_Home/click accusatory""))",Firefox 69.0,,,2019-12-04 01:22:56,2019-12-04 01:22:57,0.756s,PASSED
"setText(findTestObject(""Object Repository/flag a post/Page_Home/textarea_Detail your complaint_txtDetailReport""), ""ssgsssfsfsfsffsfsfsfsf"")",Firefox 69.0,,,2019-12-04 01:22:57,2019-12-04 01:22:58,0.607s,PASSED
"click(findTestObject(""Object Repository/flag a post/Page_Home/button_Submit""))",Firefox 69.0,,,2019-12-04 01:22:58,2019-12-04 01:22:59,0.971s,PASSED
"click(findTestObject(""Object Repository/flag a post/Page_Home/a_OK""))",Firefox 69.0,,,2019-12-04 01:22:59,2019-12-04 01:23:00,1.305s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:23:00,2019-12-04 01:23:02,2.421s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:23:02,2019-12-04 01:23:02,0.007s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:23:05,2019-12-04 01:23:05,0.001s,PASSED
,,,,,,,
Test Cases/Flag reviews,Firefox 69.0,,,2019-12-04 01:23:05,2019-12-04 01:24:28,1m - 23.238s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:23:05,2019-12-04 01:23:05,0.000s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-12-04 01:23:06,2019-12-04 01:23:22,16.252s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-12-04 01:23:22,2019-12-04 01:23:25,2.784s,PASSED
"setText(findTestObject(""Object Repository/flag review/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""vijayvstest01@gmail.com"")",Firefox 69.0,,,2019-12-04 01:23:25,2019-12-04 01:23:25,0.663s,PASSED
"setEncryptedText(findTestObject(""Object Repository/flag review/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Firefox 69.0,,,2019-12-04 01:23:25,2019-12-04 01:23:26,0.551s,PASSED
"click(findTestObject(""Object Repository/Rate/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:23:26,2019-12-04 01:23:32,5.726s,PASSED
"click(findTestObject(""flag review/Click profile""))",Firefox 69.0,,,2019-12-04 01:23:32,2019-12-04 01:23:58,26.458s,PASSED
"click(findTestObject(""flag review/click myprofile""))",Firefox 69.0,,,2019-12-04 01:23:58,2019-12-04 01:24:03,5.074s,PASSED
"waitForElementClickable(findTestObject(""flag review/Page_View Profile/span_Report""), 3)",Firefox 69.0,,,2019-12-04 01:24:03,2019-12-04 01:24:04,0.630s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:24:04,2019-12-04 01:24:07,3.010s,PASSED
"click(findTestObject(""flag review/Page_View Profile/click btn-btn report""))",Firefox 69.0,,,2019-12-04 01:24:07,2019-12-04 01:24:08,0.868s,PASSED
"waitForElementPresent(findTestObject(""flag review/Page_theworklife - Find Great People To Work With/Report New window""), 3)",Firefox 69.0,,,2019-12-04 01:24:08,2019-12-04 01:24:09,1.253s,PASSED
"waitForElementClickable(findTestObject(""flag review/Page_View Profile/label_Accusatory""), 3)",Firefox 69.0,,,2019-12-04 01:24:09,2019-12-04 01:24:09,0.456s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:24:09,2019-12-04 01:24:12,3.026s,PASSED
"click(findTestObject(""Object Repository/flag review/Page_View Profile/label_Accusatory""))",Firefox 69.0,,,2019-12-04 01:24:12,2019-12-04 01:24:14,1.164s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:24:14,2019-12-04 01:24:17,3.014s,PASSED
"setText(findTestObject(""Object Repository/flag review/Page_View Profile/textarea_Detail your complaint_txtDetailReport""), ""i dont like it , i am testing flag reviews"")",Firefox 69.0,,,2019-12-04 01:24:17,2019-12-04 01:24:17,0.711s,PASSED
"click(findTestObject(""Object Repository/flag review/Page_View Profile/button_Submit""))",Firefox 69.0,,,2019-12-04 01:24:17,2019-12-04 01:24:18,0.848s,PASSED
"waitForElementClickable(findTestObject(""flag review/Page_View Profile/a_OK""), 3)",Firefox 69.0,,,2019-12-04 01:24:18,2019-12-04 01:24:19,0.922s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:24:19,2019-12-04 01:24:22,3.009s,PASSED
"click(findTestObject(""Object Repository/flag review/Page_View Profile/a_OK""))",Firefox 69.0,,,2019-12-04 01:24:22,2019-12-04 01:24:23,0.859s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:24:23,2019-12-04 01:24:25,1.843s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:24:25,2019-12-04 01:24:25,0.021s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:24:28,2019-12-04 01:24:28,0.001s,PASSED
,,,,,,,
Test Cases/Follow users,Firefox 69.0,,,2019-12-04 01:24:28,2019-12-04 01:25:42,1m - 13.946s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:24:28,2019-12-04 01:24:28,0.000s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-04 01:24:29,2019-12-04 01:24:36,7.441s,PASSED
"navigateToUrl(""https://qa.thework.life/"")",Firefox 69.0,,,2019-12-04 01:24:36,2019-12-04 01:24:47,11.251s,PASSED
"setText(findTestObject(""Object Repository/follow/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""vijayvstest01@gmail.com"")",Firefox 69.0,,,2019-12-04 01:24:47,2019-12-04 01:24:48,0.615s,PASSED
"setEncryptedText(findTestObject(""Object Repository/follow/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Firefox 69.0,,,2019-12-04 01:24:48,2019-12-04 01:24:48,0.563s,PASSED
"click(findTestObject(""Object Repository/follow/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:24:48,2019-12-04 01:24:54,5.762s,PASSED
"setText(findTestObject(""Object Repository/follow/Page_Home/input_View all_searchText""), ""suraj kumar"")",Firefox 69.0,,,2019-12-04 01:24:54,2019-12-04 01:24:57,2.520s,PASSED
"click(findTestObject(""Object Repository/follow/Page_Home/img""))",Firefox 69.0,,,2019-12-04 01:24:57,2019-12-04 01:25:07,10.525s,PASSED
"click(findTestObject(""Object Repository/follow/Page_Search/div_suraj kumar""))",Firefox 69.0,,,2019-12-04 01:25:07,2019-12-04 01:25:08,0.835s,PASSED
delay(2),Firefox 69.0,,,2019-12-04 01:25:08,2019-12-04 01:25:10,2.018s,PASSED
"click(findTestObject(""Object Repository/follow/Page_View Profile/button_Follow""))",Firefox 69.0,,,2019-12-04 01:25:10,2019-12-04 01:25:26,15.664s,PASSED
delay(10),Firefox 69.0,,,2019-12-04 01:25:26,2019-12-04 01:25:36,10.009s,PASSED
"click(findTestObject(""Object Repository/follow/Page_View Profile/button_Unfollow""))",Firefox 69.0,,,2019-12-04 01:25:36,2019-12-04 01:25:37,0.832s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:25:37,2019-12-04 01:25:39,2.446s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:25:39,2019-12-04 01:25:39,0.022s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:25:42,2019-12-04 01:25:42,0.003s,PASSED
,,,,,,,
Test Cases/Endorse skills,Firefox 69.0,,,2019-12-04 01:25:42,2019-12-04 01:26:44,1m - 2.140s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:25:42,2019-12-04 01:25:42,0.001s,PASSED
openBrowser(AppUrl),Firefox 69.0,,,2019-12-04 01:25:43,2019-12-04 01:25:58,15.055s,PASSED
navigateToUrl(AppUrl),Firefox 69.0,,,2019-12-04 01:25:58,2019-12-04 01:26:00,2.762s,PASSED
"setText(findTestObject(""Object Repository/Endorse skills/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""worklifetest10001@gmail.com"")",Firefox 69.0,,,2019-12-04 01:26:00,2019-12-04 01:26:01,0.808s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Endorse skills/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), ""XU9cBalmEBp1UP+jEU2w4UUBUuNgBY4U"")",Firefox 69.0,,,2019-12-04 01:26:01,2019-12-04 01:26:02,0.575s,PASSED
"click(findTestObject(""Object Repository/Rate/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:26:02,2019-12-04 01:26:10,7.793s,PASSED
"setText(findTestObject(""Object Repository/Endorse skills/Page_Home/input_View all_searchText""), ""vijay"")",Firefox 69.0,,,2019-12-04 01:26:10,2019-12-04 01:26:10,0.632s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:26:10,2019-12-04 01:26:13,3.007s,PASSED
"click(findTestObject(""Object Repository/Endorse skills/Page_Search/div_Vijay Test""))",Firefox 69.0,,,2019-12-04 01:26:13,2019-12-04 01:26:19,5.661s,PASSED
"click(findTestObject(""Endorse skills/Page_Search/search vijay test""))",Firefox 69.0,,,2019-12-04 01:26:19,2019-12-04 01:26:20,0.900s,PASSED
delay(5),Firefox 69.0,,,2019-12-04 01:26:20,2019-12-04 01:26:25,5.009s,PASSED
"click(findTestObject(""Object Repository/Endorse skills/Page_View Profile/span_Endorse Skills""))",Firefox 69.0,,,2019-12-04 01:26:25,2019-12-04 01:26:26,1.191s,PASSED
delay(5),Firefox 69.0,,,2019-12-04 01:26:26,2019-12-04 01:26:26,0.006s,NOT_RUN
"waitForElementClickable(findTestObject(""Endorse skills/click on endorse skill""), 5)",Firefox 69.0,,,2019-12-04 01:26:26,2019-12-04 01:26:26,0.004s,NOT_RUN
"click(findTestObject(""Endorse skills/click on endorse skill""))",Firefox 69.0,,,2019-12-04 01:26:26,2019-12-04 01:26:26,0.003s,NOT_RUN
delay(5),Firefox 69.0,,,2019-12-04 01:26:26,2019-12-04 01:26:31,5.011s,PASSED
"click(findTestObject(""Endorse skills/Page_View Profile/button_Endorse""))",Firefox 69.0,,,2019-12-04 01:26:31,2019-12-04 01:26:32,0.720s,PASSED
"waitForElementClickable(findTestObject(""Endorse skills/Page_View Profile/a_OK""), 5)",Firefox 69.0,,,2019-12-04 01:26:32,2019-12-04 01:26:33,1.047s,PASSED
delay(5),Firefox 69.0,,,2019-12-04 01:26:33,2019-12-04 01:26:38,5.015s,PASSED
"click(findTestObject(""Object Repository/Endorse skills/Page_View Profile/a_OK""))",Firefox 69.0,,,2019-12-04 01:26:38,2019-12-04 01:26:39,0.765s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:26:39,2019-12-04 01:26:41,2.637s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:26:41,2019-12-04 01:26:41,0.005s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:26:44,2019-12-04 01:26:44,0.002s,PASSED
,,,,,,,
Test Cases/New regression cases/change email verification,Firefox 69.0,,,2019-12-04 01:26:44,2019-12-04 01:27:38,53.844s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:26:44,2019-12-04 01:26:44,0.000s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-04 01:26:45,2019-12-04 01:26:51,6.778s,PASSED
"navigateToUrl(""https://qa.thework.life/"")",Firefox 69.0,,,2019-12-04 01:26:51,2019-12-04 01:27:00,8.275s,PASSED
"currentPassword = ""Test@123""",Firefox 69.0,,,2019-12-04 01:27:00,2019-12-04 01:27:00,0.010s,PASSED
"curentEmail = ""newsuraj10001@gmail.com""",Firefox 69.0,,,2019-12-04 01:27:00,2019-12-04 01:27:00,0.003s,PASSED
"NewEmail = ""suraj.kumar@vuclip.com""",Firefox 69.0,,,2019-12-04 01:27:00,2019-12-04 01:27:00,0.005s,PASSED
"setText(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""newsuraj10001@gmail.com"")",Firefox 69.0,,,2019-12-04 01:27:00,2019-12-04 01:27:00,0.711s,PASSED
"setText(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), currentPassword)",Firefox 69.0,,,2019-12-04 01:27:00,2019-12-04 01:27:01,0.687s,PASSED
"click(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:27:01,2019-12-04 01:27:09,7.668s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:27:09,2019-12-04 01:27:12,3.007s,PASSED
"click(findTestObject(""change settings/Page_Home/i_Settings_fa fa-gear""))",Firefox 69.0,,,2019-12-04 01:27:12,2019-12-04 01:27:13,0.766s,PASSED
"click(findTestObject(""change setttings/Page_Home/a_Settings""))",Firefox 69.0,,,2019-12-04 01:27:13,2019-12-04 01:27:16,3.229s,PASSED
delay(4),Firefox 69.0,,,2019-12-04 01:27:16,2019-12-04 01:27:20,4.008s,PASSED
"click(findTestObject(""Object Repository/change settings/Page_Settings/a_Primary Email Address_fa fa-pencil m-t-40""))",Firefox 69.0,,,2019-12-04 01:27:20,2019-12-04 01:27:21,0.924s,PASSED
"click(findTestObject(""change settings/Page_Settings/edit email button""))",Firefox 69.0,,,2019-12-04 01:27:21,2019-12-04 01:27:24,3.435s,PASSED
delay(4),Firefox 69.0,,,2019-12-04 01:27:24,2019-12-04 01:27:28,4.010s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Change Primary Email/input_Current password_oldPassword""), currentPassword)",Firefox 69.0,,,2019-12-04 01:27:28,2019-12-04 01:27:29,0.617s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Change Primary Email/input_New email_email""), NewEmail)",Firefox 69.0,,,2019-12-04 01:27:29,2019-12-04 01:27:29,0.655s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Change Primary Email/input_Confirm new email_confirm_email""), NewEmail)",Firefox 69.0,,,2019-12-04 01:27:29,2019-12-04 01:27:30,1.008s,PASSED
"click(findTestObject(""change settings/save and verify email""))",Firefox 69.0,,,2019-12-04 01:27:30,2019-12-04 01:27:30,0.003s,NOT_RUN
delay(2),Firefox 69.0,,,2019-12-04 01:27:30,2019-12-04 01:27:33,2.011s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:27:33,2019-12-04 01:27:35,2.553s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:27:35,2019-12-04 01:27:35,0.011s,PASSED
Video,Firefox 69.0,,,2019-12-04 01:27:38,2019-12-04 01:27:38,0.002s,PASSED
,,,,,,,
Test Cases/New regression cases/change setting verification,Firefox 69.0,,,2019-12-04 01:27:38,2019-12-04 01:28:51,1m - 12.638s,PASSED
Start listener action : beforeTestcase,Firefox 69.0,,,2019-12-04 01:27:38,2019-12-04 01:27:38,0.000s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-04 01:27:38,2019-12-04 01:27:46,7.116s,PASSED
"navigateToUrl(""https://qa.thework.life/"")",Firefox 69.0,,,2019-12-04 01:27:46,2019-12-04 01:27:54,8.173s,PASSED
"currentPassword = ""Test@123""",Firefox 69.0,,,2019-12-04 01:27:54,2019-12-04 01:27:54,0.005s,PASSED
"newPassword = ""Test@1234""",Firefox 69.0,,,2019-12-04 01:27:54,2019-12-04 01:27:54,0.001s,PASSED
"setText(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""newsuraj10001@gmail.com"")",Firefox 69.0,,,2019-12-04 01:27:54,2019-12-04 01:27:54,0.680s,PASSED
"setText(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), currentPassword)",Firefox 69.0,,,2019-12-04 01:27:54,2019-12-04 01:27:55,0.668s,PASSED
"click(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:27:55,2019-12-04 01:28:07,11.806s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:28:07,2019-12-04 01:28:10,3.009s,PASSED
"click(findTestObject(""change settings/Page_Home/i_Settings_fa fa-gear""))",Firefox 69.0,,,2019-12-04 01:28:10,2019-12-04 01:28:11,0.834s,PASSED
"click(findTestObject(""change setttings/Page_Home/a_Settings""))",Firefox 69.0,,,2019-12-04 01:28:11,2019-12-04 01:28:14,3.303s,PASSED
delay(4),Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/change settings/Page_Settings/a_Primary Email Address_fa fa-pencil m-t-40""))",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.000s,NOT_RUN
"click(findTestObject(""change settings/Page_Settings/edit email button""))",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.008s,NOT_RUN
delay(4),Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.003s,NOT_RUN
"setText(findTestObject(""Object Repository/change settings/Page_Change Primary Email/input_Current password_oldPassword""), currentPassword)",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.003s,NOT_RUN
"setText(findTestObject(""Object Repository/change settings/Page_Change Primary Email/input_New email_email""), ""skfjksfvskf"")",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/change settings/Page_Change Primary Email/input_Confirm new email_confirm_email""), ""fgjkfkgf"")",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.005s,NOT_RUN
"click(findTestObject(""change settings/Page_Home/i_Settings_fa fa-gear""))",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.003s,NOT_RUN
"click(findTestObject(""change setttings/Page_Home/a_Settings""))",Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:14,0.003s,NOT_RUN
delay(3),Firefox 69.0,,,2019-12-04 01:28:14,2019-12-04 01:28:17,3.007s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Settings/input_Current password_oldPassword""), currentPassword)",Firefox 69.0,,,2019-12-04 01:28:17,2019-12-04 01:28:18,0.597s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Settings/input_New password_password""), newPassword)",Firefox 69.0,,,2019-12-04 01:28:18,2019-12-04 01:28:18,0.713s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Settings/input_Retype new password_confirm_password""), newPassword)",Firefox 69.0,,,2019-12-04 01:28:18,2019-12-04 01:28:19,0.869s,PASSED
"click(findTestObject(""Object Repository/change settings/Page_Settings/button_Reset""))",Firefox 69.0,,,2019-12-04 01:28:19,2019-12-04 01:28:19,0.002s,NOT_RUN
"click(findTestObject(""change settings/Page_Settings/button_Save""))",Firefox 69.0,,,2019-12-04 01:28:19,2019-12-04 01:28:20,0.707s,PASSED
"click(findTestObject(""change settings/Page_Settings/a_OK""))",Firefox 69.0,,,2019-12-04 01:28:20,2019-12-04 01:28:21,1.064s,PASSED
delay(2),Firefox 69.0,,,2019-12-04 01:28:21,2019-12-04 01:28:23,2.005s,PASSED
"setText(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/input_Forgot password_username""), ""newsuraj10001@gmail.com"")",Firefox 69.0,,,2019-12-04 01:28:23,2019-12-04 01:28:25,1.743s,PASSED
"setText(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/input_Forgot password_password""), newPassword)",Firefox 69.0,,,2019-12-04 01:28:25,2019-12-04 01:28:26,0.769s,PASSED
"click(findTestObject(""change setttings/Page_theworklife - Find Great People To Work With/button_Sign in""))",Firefox 69.0,,,2019-12-04 01:28:26,2019-12-04 01:28:31,5.790s,PASSED
delay(2),Firefox 69.0,,,2019-12-04 01:28:31,2019-12-04 01:28:33,2.004s,PASSED
"click(findTestObject(""change settings/Page_Home/i_Settings_fa fa-gear""))",Firefox 69.0,,,2019-12-04 01:28:33,2019-12-04 01:28:34,0.651s,PASSED
"click(findTestObject(""change setttings/Page_Home/a_Settings""))",Firefox 69.0,,,2019-12-04 01:28:34,2019-12-04 01:28:38,3.938s,PASSED
delay(3),Firefox 69.0,,,2019-12-04 01:28:38,2019-12-04 01:28:41,3.006s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Settings/input_Current password_oldPassword""), newPassword)",Firefox 69.0,,,2019-12-04 01:28:41,2019-12-04 01:28:41,0.514s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Settings/input_New password_password""), currentPassword)",Firefox 69.0,,,2019-12-04 01:28:41,2019-12-04 01:28:42,0.585s,PASSED
"setText(findTestObject(""Object Repository/change settings/Page_Settings/input_Retype new password_confirm_password""), currentPassword)",Firefox 69.0,,,2019-12-04 01:28:42,2019-12-04 01:28:43,1.037s,PASSED
"click(findTestObject(""change settings/Page_Settings/button_Save""))",Firefox 69.0,,,2019-12-04 01:28:43,2019-12-04 01:28:44,0.863s,PASSED
"click(findTestObject(""change settings/Page_Settings/a_OK""))",Firefox 69.0,,,2019-12-04 01:28:44,2019-12-04 01:28:44,0.004s,NOT_RUN
delay(2),Firefox 69.0,,,2019-12-04 01:28:44,2019-12-04 01:28:46,2.009s,PASSED
closeBrowser(),Firefox 69.0,,,2019-12-04 01:28:46,2019-12-04 01:28:48,1.711s,PASSED
Start listener action : afterTestcase,Firefox 69.0,,,2019-12-04 01:28:48,2019-12-04 01:28:48,0.007s,PASSED
